6444,6485,5917,6626,9626,10489,7145,12552,10418,11513,5467,14736,9985,11328,4250,13658,3863,4713,800,8189,6362,6021,2354,9647,5627,5486,5483,5453,6148,6092,6061,5946,3803,3814,3674,4004,1419,1572,3877,5889,3725,3847,3716,3182,1556,2005,1801,1665,1397,1844,1635,1689,
24622,25132,22353,25221,37398,40236,24967,47753,39726,44863,11557,55126,39146,43000,9759,49768,14293,17837,1532,31069,24314,23147,5346,35748,5871,5733,5544,5532,11394,11375,11783,11850,8270,8001,7635,8229,3283,3185,14020,18118,8090,7849,8269,6540,3670,4525,3795,3846,3062,4452,3608,3773,
51188,54602,48387,53203,78274,83893,53313,107193,86436,94255,17022,123542,84246,91353,12398,116862,29822,35598,1970,68950,54332,47820,8186,78392,6437,6023,6177,6230,17354,17275,17446,17400,13281,13208,12657,14469,6790,5024,29457,38777,13136,13212,13739,11952,6172,7426,5869,6648,5134,7077,5085,5987,
89221,94272,84672,93069,136142,146465,92722,182208,146946,163283,23503,218670,140743,161844,20718,200372,50086,62171,2675,122603,94822,86278,11380,138399,6801,6449,6448,6444,22811,22499,22661,22852,17559,17499,16521,18447,11157,6719,47757,63138,17834,16877,18959,16726,8549,10681,7958,8546,7030,10078,6993,8112,
133122,141408,128021,144143,209683,227547,143009,284969,231167,264084,29718,340371,225978,255331,26721,308292,81415,93698,3441,184638,142467,129482,15399,213994,7311,7120,7016,7018,28533,28173,27770,27941,23827,23331,21797,23035,15851,9206,72146,101033,22972,23689,23988,21250,10023,14896,10023,11675,9259,12824,9174,11337,
190710,202412,185315,203482,303581,333242,203248,413292,334669,380104,35261,491737,319504,371555,32671,447962,112578,139472,4108,270378,203838,192511,18486,301600,7441,7315,7314,7190,33968,33821,33271,34158,28885,29287,26797,29425,19111,11106,102994,136709,28302,29479,30657,27201,13693,17264,12945,14597,10988,16752,11346,14026,
257809,273384,251674,277049,413273,458022,273591,562888,457047,525211,45842,670276,438080,508154,43421,610176,152507,193831,4597,363813,285953,268916,22412,409030,8446,8075,8077,8065,39974,39916,38802,39478,34285,35877,31948,32261,20301,12780,135905,192174,33932,34699,38363,32798,15880,21574,15690,18034,13428,20650,13258,17167,
333064,350772,323968,361797,537343,599803,358586,734170,596247,683840,52387,877036,574334,664980,46998,793634,206067,254374,5048,470978,366316,346273,26259,562273,8519,8512,8174,8489,45150,44795,45703,44621,39566,41878,36148,41065,25761,14891,176192,241936,33844,41068,45222,39418,19783,30280,18165,19389,15622,25136,15676,19156,
419918,441962,411710,451992,669162,761878,452431,932070,743309,863904,59181,1106768,716132,838958,52428,1008410,254652,317796,5871,595564,440781,437081,29434,764841,9683,9228,9242,8703,51649,53055,51068,50361,44412,50094,41442,44620,28655,16957,224632,302887,38723,49441,57728,48429,21922,33250,19741,23739,18479,31579,18311,22407,
519126,543524,507064,557992,833032,930968,556285,1145741,925655,1059114,65086,1368864,891058,1028748,56970,1249425,319069,388003,6468,737152,568496,518187,34263,831306,9734,9173,9265,9045,56196,55662,56373,55256,52204,61843,47641,49616,33212,20403,270970,378378,45399,61397,68942,56412,22612,34272,22170,26539,20429,34681,20522,24013,
624099,655350,611177,674074,1013495,1123449,695428,1404795,1139099,1299377,72206,1678406,1101680,1250175,63717,1528094,396159,477164,7037,903841,678379,639930,39435,1039338,10300,9633,10110,9690,62622,64864,63112,61620,62149,76028,52273,58344,38708,23227,331230,466326,53516,76839,83021,68960,27473,49677,28607,30932,23602,40071,22705,28094,
754315,793170,740880,819897,1225121,1343232,809421,1679317,1354254,1514219,78699,2000620,1306569,1473767,67489,1825285,473154,557033,7855,1078008,796864,749669,42842,1210062,10506,10045,10166,10226,67683,70125,69290,67334,65109,84349,59175,64557,40093,25913,393850,548751,64836,89629,96811,82694,32905,59407,29960,33553,25325,47634,26224,30339,
884359,917875,871802,959437,1435844,1575929,947382,1983560,1587682,1777337,86752,2351021,1527191,1720933,78901,2133025,543883,650985,8493,1264268,924457,847480,47705,1415938,10733,10510,10982,10269,74141,76318,74453,74208,70747,92046,66358,71145,45572,28055,454722,646748,77846,101996,106594,93564,34711,78861,32954,38155,27717,56563,28533,34784,
1031451,1059395,1010148,1099387,1623761,1782926,1078801,2239163,1790200,2017223,91752,2683529,1723191,1955423,81212,2426495,612949,739189,8808,1448967,1065319,980113,50032,1610557,11933,11278,11296,11296,79426,78029,79743,78576,81153,115195,79086,74357,46477,28628,516436,739932,88053,112216,119112,105045,34948,84046,34371,40517,30940,76777,29671,36430,
1154540,1198735,1137480,1251030,1845330,2043677,1236444,2567568,2042608,2319173,98363,3074057,1964150,2248114,86223,2785967,694759,852975,9708,1654882,1258469,1092127,55069,1906472,12107,11440,11216,11223,84864,84617,83896,86090,80744,128838,75074,78638,50396,30722,587542,842711,108057,123686,130426,112455,38341,96975,36424,43577,32528,94214,32150,39674,
1316937,1358519,1293806,1422956,2091645,2335684,1411257,2920104,2314886,2641093,107671,3496603,2230801,2551675,97748,3170633,781077,973330,11891,1881628,1406609,1278966,57217,2105647,12271,12026,11649,11665,90331,89304,89375,89410,87612,125135,77288,81409,60876,36643,658164,950921,114587,136579,141379,125724,45711,125848,40752,44316,34319,107477,34615,40870,
1477316,1531429,1463376,1605250,2355530,2614980,1586451,3295069,2604147,2967880,112953,3947334,2506518,2866905,100047,3587895,878503,1091950,11099,2124499,1493334,1411692,62307,2390281,12895,12490,12429,12085,96218,95862,95476,96501,92831,135363,84515,89997,58946,36187,744761,1078776,125239,146773,153560,135487,44601,126359,41310,49120,38158,121069,37277,46188,
1653933,1712943,1636714,1793171,2652215,2904164,1778295,3694435,2928038,3312161,123388,4431230,2810688,3199419,108897,4036288,986072,1221756,12699,2376628,1733141,1605118,66493,2654285,13871,13157,13054,12843,101940,100773,102830,101147,104523,147557,89952,93808,63597,40746,836915,1209187,134832,158636,164924,147138,50840,145198,44597,51222,41321,135414,39790,50246,
1842696,1898319,1822979,2005291,2943965,3232446,1980319,4118140,3248519,3673187,130597,4925567,3125226,3543525,118044,4472241,1099795,1359390,12660,2658892,1934223,1759242,70446,2963577,13730,13101,13332,12948,107972,106470,105717,105751,113803,158000,95272,100433,66825,39853,925598,1347418,146325,171431,176959,156572,48503,140890,48107,55861,43589,151766,42056,48919,
2044809,2105006,2017775,2216983,3256337,3586026,2187439,4558975,3598451,4076692,135308,5460576,3458114,3935343,124540,4947177,1218512,1507939,13013,2934893,2057745,1941318,74961,3286298,14181,13022,13386,12995,117358,116395,117076,117053,117106,171457,101373,104183,70894,44610,1025557,1491464,153911,183835,188398,169407,54767,159288,49404,58342,44254,161979,43745,54386,
2243007,2318792,2226160,2441895,3609180,3930563,2413648,5030058,3981050,4462282,142280,6031062,3815631,4309748,129045,5462329,1345361,1644074,13522,3240100,2293910,2103438,80222,3620209,14974,14620,14409,14499,118007,117193,117510,119768,127743,195250,108234,113642,73204,50801,1103351,1636259,164717,194102,198955,179892,59993,167620,60398,63899,48392,173895,47734,57053,
2467271,2533553,2441739,2682679,3936715,4302995,2654428,5515868,4339849,4886550,149459,6602447,4183861,4710135,137707,5986367,1472193,1803161,16571,3553622,2503191,2306530,85723,4034010,15673,15069,14209,14405,126128,123937,123350,124191,133388,191502,114376,121291,78019,52140,1225632,1811510,179986,206321,215672,193150,64330,179456,61849,67030,49878,187681,49767,60548,
2794050,2829684,2683151,2934647,4308430,4701175,2899741,6038737,4753049,5325789,158385,7220797,4570073,5135916,144350,6598483,1614904,1956826,14906,3884153,2815471,2526896,87801,4334677,15650,14880,14863,15186,127983,130013,128552,130722,138238,200209,117283,128203,81804,52977,1349171,1957433,186553,219235,221394,198770,64757,190027,63918,72829,53860,195393,51558,63891,
2925877,3011664,2907260,3186451,4688737,5124417,3159633,6569205,5170609,5803675,161844,7878829,4956173,5567904,149773,7131086,1744088,2129204,18328,4232926,2942069,2715148,92470,4727256,16146,15347,15070,15821,133802,134001,134869,136417,153176,208706,124329,135228,82549,59099,1459604,2136304,197041,230283,237651,210384,79497,207334,66072,75473,57684,206259,55274,66239,
3183853,3250523,3154801,3463868,5067508,5537274,3421201,7131014,5591451,6276439,171094,8542506,5372672,6046851,159577,7730721,1902145,2298571,17086,4590460,3245326,2956870,96578,5182783,16476,16470,16132,16261,140170,139686,141354,140626,156036,227243,132977,141419,86965,66720,1580544,2322727,206002,240322,246983,222543,79747,219874,70825,76592,62466,224323,57878,68170,
3440328,3521844,3417526,3766081,5516532,5996446,3696732,7707101,6072456,6787919,178100,9238671,5831614,6530350,166287,8367741,2066738,2497763,19609,4965964,3482147,3193220,102677,5550238,17318,16256,16011,16699,148732,146926,146619,146880,159387,234891,133905,143442,95464,73251,1704231,2507916,213453,254635,255543,231874,80379,230871,72734,81809,63881,234669,62243,71647,
3706232,3787795,3682137,4040191,5925127,6434418,3989084,8312670,6538612,7294830,182353,9960544,6265035,7022161,169567,9044168,2249662,2707660,17878,5473886,3797902,3399701,106282,6091107,18109,16888,16531,17159,157343,152818,155885,158817,178145,251025,143443,151313,93425,96260,1824249,2702250,225062,273198,266507,244434,83372,237751,75228,84952,66681,238420,64408,76857,
3989632,4083744,4060575,4352419,6379114,6903070,4292473,9000438,7100093,7864044,192545,10839076,6854093,7543733,174942,9785928,2406898,2874558,18315,5800793,4144543,3702906,111763,6466550,18133,17906,17498,17760,164078,161602,161179,160862,200986,284658,156375,157189,100043,121269,2010949,2955845,234968,279656,280730,255090,91097,246830,80148,89050,71124,260323,67883,81461,
4326742,4380534,4255860,4678142,6845589,7455998,4664022,9657847,7535513,8384431,197958,11618416,7251765,8058713,189892,10410791,2563863,3075682,22064,6175929,4434159,3933270,116347,6892355,19231,18286,17385,17344,164806,162870,163799,162731,203805,274363,152733,159518,101022,133436,2102383,3119302,245229,289023,291007,262715,89280,259804,80691,91458,74674,262689,71310,82303,
4573020,4675050,4541428,4990693,7291822,7932251,4922438,10262146,8047747,8969849,207919,12407650,8052755,8811028,197660,11279350,2735492,3288803,22615,6638106,4694451,4204525,119115,7423800,19169,19057,17807,18283,169910,170494,169569,166358,200676,295892,161653,164500,112556,143477,2241761,3331591,255419,299947,303209,272938,96457,264355,84378,95285,77401,276241,71527,86305,
4878080,4976112,4846951,5312368,7804680,8466755,5252255,10960494,8627500,9588913,215566,13126515,8271140,9241785,199492,11896631,2932900,3528786,20497,7048784,5026531,4498945,123108,7942662,19182,18976,18577,18353,174699,174808,172060,175533,211787,298398,164620,171707,114734,145754,2395794,3555632,263794,316925,314587,286915,102655,302447,89387,96030,81949,289762,74200,94614,
5196582,5309225,5171339,5659094,8335420,8984367,5603472,11681728,9172438,10198648,223744,14004147,8804654,9820410,207702,12719959,3142000,3757614,21572,7508969,5285716,4709864,130076,8372445,20457,18943,19031,19343,179057,179095,180538,178535,209947,296314,167912,176944,115869,157360,2535278,3787731,273187,325870,326691,292796,133503,310286,92128,98067,89085,298508,77998,93882,
5523622,5641752,5484522,6023449,8860753,9570521,5996968,12415203,9780116,10828384,227606,14877930,9360334,10421153,212309,13479952,3348643,3985684,21775,7998542,5590584,4999815,130634,8899309,21030,20022,19269,19085,187078,183113,185416,186388,214315,314223,177269,182403,120097,165538,2698923,4017906,283523,338569,337762,302926,116131,297019,95741,107568,93285,311225,79502,99893,
5860928,5973092,5829254,6386400,9418649,10147858,6323759,13171363,10383143,11518143,232472,15789381,9947378,11079573,218029,14301744,3579872,4230016,22912,8474304,6019331,5307212,136877,9443061,21598,20571,20198,20064,192045,191834,189160,192121,231014,318276,179254,189414,126687,171985,2846953,4265503,294480,347289,346942,316834,120279,317835,96808,108684,97917,320971,83016,98768,
6206670,6332731,6175571,6777599,10001797,10752795,6760261,14229246,11087705,12208614,244196,16721383,10563612,11749967,230526,15155148,3795943,4496073,26165,8975401,6443237,5602912,141702,10001744,22046,20774,19850,20069,199133,195973,194778,197920,239358,326544,186759,191094,136901,184656,3053208,4606403,301924,368225,361484,332099,120596,322727,101263,111365,102524,339986,86770,107436,
6667887,6809916,6640074,7287549,10764617,11565249,7214342,15063612,11856588,13126204,252473,18014509,11333144,12372153,235434,16024767,3997568,4731658,25107,9496251,6736735,5945381,145761,10573431,22250,20913,20526,21096,202685,204972,203214,201540,240358,336159,193592,200216,142742,188219,3200847,4785123,308815,372655,371620,333822,139475,361453,100167,113230,106737,345223,89260,107502,
6919945,7056084,6890030,7568097,11125313,11977037,7466134,15637846,12371332,13596200,255439,18712245,11776247,13068662,242438,16936694,4231981,4996830,24636,10027251,7130129,6274512,150817,11168459,22340,21502,20908,20887,207999,209556,206278,208090,251252,368589,200744,205945,134384,195651,3379163,5025238,316954,385393,379273,342780,126527,341926,104399,118353,109964,357751,91881,111796,
7313767,7436435,7271365,7969726,11728161,12601071,7887134,16452205,12945804,14310736,264138,19713871,12396067,13766325,246657,17927328,4463194,5259239,26437,10596437,7493910,6603296,156700,11781737,23161,22321,21109,21326,216680,214019,213463,213813,268969,365966,205286,212904,138360,206025,3526616,5330433,327368,395936,389313,356053,132440,354471,106889,123772,115737,370122,94646,113785,
7708862,7835000,7669062,8531003,12591183,13262315,8295185,17325390,13640323,15051109,269983,20756984,13068835,14473958,252400,18813217,4708668,5531889,26902,11157981,7839352,7007636,159305,12406090,23294,23148,22359,22624,218233,219018,219545,218570,267195,379819,215028,225456,147657,210606,3756312,5602708,340196,410075,398925,363704,132103,360585,109181,128390,121131,376226,100344,119506,
8094638,8225035,8050657,8829869,12979964,13998691,8902347,18473556,14340893,15865254,277428,-21084869,13727466,15273473,259909,19803755,4933639,5834198,30570,11729920,8174146,7403655,166405,13030906,24932,23230,22576,22252,222430,224618,224658,224647,278633,395195,224827,227027,152244,220837,3899106,6036904,364140,427633,417937,383453,168893,398866,114622,128535,128914,397681,102121,122514,
8648412,8788236,8600740,9448891,13668332,14678173,9162560,19149823,15055588,16932947,290171,-19656262,14399119,16031683,265693,20792703,5182342,6121200,32456,12314623,8605379,7676001,170646,13694391,24907,23354,22481,23336,230346,231120,230885,231000,282903,417132,227762,235486,148272,221542,4115101,6184114,359412,432671,421121,386490,179743,465268,129832,134971,129317,402278,103403,122552,
